date,disinfectants,thermometers,oat milk,rubbing alcohol,powdered milk,hydrogen peroxide,mask,sanitizer,toilet paper,disposable gloves
2019-04-28,2,8,34,10,6,31,8,1,2,2
2019-05-05,2,7,33,10,8,32,8,1,2,4
2019-05-12,2,6,34,10,7,34,8,1,2,5
2019-05-19,1,7,36,11,9,33,8,1,3,2
2019-05-26,1,7,36,11,8,34,8,1,3,4
2019-06-02,2,7,36,12,8,36,8,1,3,4
2019-06-09,2,7,38,12,9,34,8,1,2,2
2019-06-16,1,9,39,11,8,34,8,1,2,2
2019-06-23,1,6,42,11,7,33,8,1,2,5
2019-06-30,1,6,35,12,12,34,8,1,2,3
2019-07-07,1,6,36,11,7,33,9,1,2,3
2019-07-14,1,8,35,12,9,33,8,1,3,4
2019-07-21,2,6,45,12,7,32,8,1,2,5
2019-07-28,1,5,48,11,7,34,8,1,2,3
2019-08-04,1,5,40,12,6,32,8,1,2,4
2019-08-11,2,5,41,12,7,33,8,1,2,4
2019-08-18,2,7,42,13,8,31,8,1,3,7
2019-08-25,2,6,38,11,8,30,8,1,2,6
2019-09-01,1,7,39,11,6,32,8,1,3,6
2019-09-08,2,8,44,11,10,33,8,1,3,5
2019-09-15,2,8,36,13,7,31,9,1,2,3
2019-09-22,3,9,38,11,9,37,9,1,2,4
2019-09-29,3,9,37,11,11,35,10,1,3,4
2019-10-06,4,7,38,12,9,33,11,1,3,3
2019-10-13,2,8,39,11,9,33,11,1,2,2
2019-10-20,3,7,44,11,9,34,13,1,3,3
2019-10-27,2,8,44,10,9,32,14,1,3,4
2019-11-03,2,7,45,11,10,34,9,1,2,4
2019-11-10,3,7,52,11,10,32,9,1,3,3
2019-11-17,2,11,49,11,10,36,9,1,3,4
2019-11-24,2,10,39,10,9,31,8,1,3,3
2019-12-01,2,10,37,9,11,33,9,1,3,5
2019-12-08,2,8,37,10,11,29,10,1,3,3
2019-12-15,1,8,38,9,17,32,9,1,3,4
2019-12-22,1,9,45,12,13,32,9,1,3,4
2019-12-29,1,8,46,13,13,35,9,1,3,4
2020-01-05,2,9,81,12,9,32,9,1,3,3
2020-01-12,1,10,85,11,10,33,9,1,3,4
2020-01-19,2,13,76,11,11,36,11,1,3,5
2020-01-26,3,12,82,13,9,35,18,3,2,5
2020-02-02,2,10,72,11,9,33,14,2,3,5
2020-02-09,3,10,72,11,12,36,12,2,3,4
2020-02-16,3,11,81,12,12,37,11,2,3,6
2020-02-23,6,12,90,13,22,41,31,6,3,8
2020-03-01,20,11,89,43,27,52,22,50,8,17
2020-03-08,33,37,90,100,60,87,23,100,93,25
2020-03-15,31,100,71,87,100,89,34,69,100,51
2020-03-22,27,88,73,76,49,86,47,44,54,68
2020-03-29,29,90,97,87,43,100,97,45,40,100
2020-04-05,20,51,100,68,39,84,100,36,30,96
2020-04-12,15,40,90,49,33,74,70,27,19,80
2020-04-19,100,41,82,43,25,79,63,25,13,67
